State,County,"MCO Name","Service Category","Number of Active Patients","Number of Eligible MCO Patients","Number of Providers","Percent Of Eligible Patients Receiving Services","Number of Services per Active Patient","Number of Active Patients per Provider","Calendar Year","Plan Category"
Arizona,Greenlee,Dcs/Chp,"Behavioral Health",*,*,3,66.67%,13,*,2021,Comprehensive MCO
Arizona,Greenlee,Care1st,"Behavioral Health",*,*,4,0.00%,,*,2021,Comprehensive MCO
Arizona,Greenlee,"Az Complete Health","Behavioral Health",47,546,10,8.61%,15,5:01,2021,Comprehensive MCO
Arizona,Greenlee,"Banner University Family Care","Behavioral Health",43,617,8,6.97%,27,6:01,2021,Comprehensive MCO
Arizona,Greenlee,"United Healthcare","Behavioral Health",*,*,8,16.67%,12,*,2021,Comprehensive MCO
Arizona,Greenlee,Molina,"Behavioral Health",*,*,2,0.00%,,*,2021,Comprehensive MCO
Arizona,Greenlee,"Mercy Care","Behavioral Health",*,*,4,50.00%,4,*,2021,Comprehensive MCO
Arizona,Greenlee,"Ltc Dd Des","Behavioral Health",*,*,7,66.67%,220,*,2021,Comprehensive MCO
Arizona,Greenlee,"Health Choice Arizona","Behavioral Health",*,*,4,15.79%,2,*,2021,Comprehensive MCO
Arizona,Greenlee,Dcs/Chp,"Behavioral Health",*,*,3,100.00%,38,*,2022,Comprehensive MCO
Arizona,Greenlee,Care1st,"Behavioral Health",0,0,1,,,0,2022,Comprehensive MCO
Arizona,Greenlee,"Banner University Family Care","Behavioral Health",43,781,9,5.51%,31,5:01,2022,Comprehensive MCO
Arizona,Greenlee,"Az Complete Health","Behavioral Health",57,706,10,8.07%,14,6:01,2022,Comprehensive MCO
Arizona,Greenlee,"United Healthcare","Behavioral Health",*,*,9,0.00%,,*,2022,Comprehensive MCO
Arizona,Greenlee,Molina,"Behavioral Health",*,*,2,33.33%,57,*,2022,Comprehensive MCO
Arizona,Greenlee,"Mercy Care","Behavioral Health",*,*,4,100.00%,8,*,2022,Comprehensive MCO
Arizona,Greenlee,"Ltc Dd Des","Behavioral Health",*,*,9,58.33%,209,*,2022,Comprehensive MCO
Arizona,Greenlee,"Health Choice Arizona","Behavioral Health",*,*,3,53.85%,17,*,2022,Comprehensive MCO
Arizona,Greenlee,Dcs/Chp,"Behavioral Health",*,*,4,50.00%,80,*,2023,Comprehensive MCO
Arizona,Greenlee,Care1st,"Behavioral Health",*,*,1,0.00%,,*,2023,Comprehensive MCO
Arizona,Greenlee,"Banner University Family Care","Behavioral Health",62,971,8,6.39%,23,8:01,2023,Comprehensive MCO
Arizona,Greenlee,"Az Complete Health","Behavioral Health",64,881,9,7.26%,27,8:01,2023,Comprehensive MCO
Arizona,Greenlee,"United Healthcare","Behavioral Health",*,*,9,0.00%,,*,2023,Comprehensive MCO
Arizona,Greenlee,Molina,"Behavioral Health",0,0,1,,,0,2023,Comprehensive MCO
Arizona,Greenlee,"Mercy Care","Behavioral Health",*,*,5,50.00%,3,*,2023,Comprehensive MCO
Arizona,Greenlee,"Ltc Dd Des","Behavioral Health",*,*,6,55.00%,209,*,2023,Comprehensive MCO
Arizona,Greenlee,"Health Choice Arizona","Behavioral Health",*,*,4,7.14%,54,*,2023,Comprehensive MCO
Arizona,Greenlee,Care1st,"Behavioral Health",*,*,1,0.00%,,*,2024,Comprehensive MCO
Arizona,Greenlee,"Banner University Family Care","Behavioral Health",68,"1,003",6,6.78%,24,12:01,2024,Comprehensive MCO
Arizona,Greenlee,"Az Complete Health","Behavioral Health",103,"2,031",6,5.07%,26,18:01,2024,Comprehensive MCO
Arizona,Greenlee,"United Healthcare","Behavioral Health",*,*,6,12.50%,10,*,2024,Comprehensive MCO
Arizona,Greenlee,Molina,"Behavioral Health",*,*,2,0.00%,,*,2024,Comprehensive MCO
Arizona,Greenlee,"Mercy Care","Behavioral Health",*,*,4,12.73%,86,*,2024,Comprehensive MCO
Arizona,Greenlee,"Ltc Dd Des","Behavioral Health",27,48,6,56.25%,173,5:01,2024,Comprehensive MCO
Arizona,Greenlee,"Health Choice Arizona","Behavioral Health",*,*,2,0.00%,,*,2024,Comprehensive MCO
Arizona,Greenlee,Dcs/Chp,"Behavioral Health",*,*,3,21.43%,67,*,2024,Comprehensive MCO
Arizona,"La Paz","United Healthcare","Behavioral Health",*,*,18,0.00%,,*,2020,Comprehensive MCO
Arizona,"La Paz",Molina,"Behavioral Health",0,0,3,,,0,2020,Comprehensive MCO
Arizona,"La Paz","Mercy Care","Behavioral Health",*,*,8,53.33%,5,*,2020,Comprehensive MCO
Arizona,"La Paz","Ltc Dd Des","Behavioral Health",13,26,19,50.00%,335,1:02,2020,Comprehensive MCO
Arizona,"La Paz","Health Choice Arizona","Behavioral Health",*,*,8,5.88%,4,*,2020,Comprehensive MCO
Arizona,"La Paz",Dcs/Chp,"Behavioral Health",*,*,2,4.00%,13,*,2020,Comprehensive MCO
Arizona,"La Paz",Care1st,"Behavioral Health",*,*,6,5.56%,2,*,2020,Comprehensive MCO
Arizona,"La Paz","Banner University Family Care","Behavioral Health",90,"1,295",23,6.95%,32,4:01,2020,Comprehensive MCO
Arizona,"La Paz","Az Complete Health","Behavioral Health",142,"2,071",25,6.86%,31,6:01,2020,Comprehensive MCO
Arizona,"La Paz","United Healthcare","Behavioral Health",*,*,13,0.00%,,*,2021,Comprehensive MCO
Arizona,"La Paz",Molina,"Behavioral Health",0,0,2,,,0,2021,Comprehensive MCO
Arizona,"La Paz","Mercy Care","Behavioral Health",*,*,7,50.00%,9,*,2021,Comprehensive MCO
Arizona,"La Paz","Ltc Dd Des","Behavioral Health",16,36,17,44.44%,235,1:02,2021,Comprehensive MCO
Arizona,"La Paz","Health Choice Arizona","Behavioral Health",*,*,7,23.33%,9,*,2021,Comprehensive MCO
Arizona,"La Paz",Dcs/Chp,"Behavioral Health",*,*,10,23.08%,7,*,2021,Comprehensive MCO
Arizona,"La Paz",Care1st,"Behavioral Health",*,*,4,13.64%,11,*,2021,Comprehensive MCO
Arizona,"La Paz","Banner University Family Care","Behavioral Health",91,"1,525",21,5.97%,23,5:01,2021,Comprehensive MCO
Arizona,"La Paz","Az Complete Health","Behavioral Health",180,"2,594",24,6.94%,32,8:01,2021,Comprehensive MCO
Arizona,"La Paz","United Healthcare","Behavioral Health",*,*,14,0.00%,,*,2022,Comprehensive MCO
Arizona,"La Paz",Molina,"Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,"La Paz","Mercy Care","Behavioral Health",*,*,8,51.43%,6,*,2022,Comprehensive MCO
Arizona,"La Paz","Ltc Dd Des","Behavioral Health",19,39,16,48.72%,224,2:01,2022,Comprehensive MCO
Arizona,"La Paz","Health Choice Arizona","Behavioral Health",*,*,4,17.54%,41,*,2022,Comprehensive MCO
Arizona,"La Paz",Dcs/Chp,"Behavioral Health",*,*,10,44.44%,5,*,2022,Comprehensive MCO
Arizona,"La Paz",Care1st,"Behavioral Health",*,*,5,13.33%,7,*,2022,Comprehensive MCO
Arizona,"La Paz","Banner University Family Care","Behavioral Health",121,"1,711",22,7.07%,19,6:01,2022,Comprehensive MCO
Arizona,"La Paz","Az Complete Health","Behavioral Health",220,"3,200",25,6.88%,31,9:01,2022,Comprehensive MCO
Arizona,"La Paz","United Healthcare","Behavioral Health",*,*,16,5.56%,24,*,2023,Comprehensive MCO
Arizona,"La Paz",Molina,"Behavioral Health",*,*,1,0.00%,,*,2023,Comprehensive MCO
Arizona,"La Paz","Mercy Care","Behavioral Health",30,76,11,39.47%,17,3:01,2023,Comprehensive MCO
Arizona,"La Paz","Ltc Dd Des","Behavioral Health",*,*,15,32.56%,150,*,2023,Comprehensive MCO
Arizona,"La Paz","Health Choice Arizona","Behavioral Health",*,*,9,6.67%,8,*,2023,Comprehensive MCO
Arizona,"La Paz",Dcs/Chp,"Behavioral Health",*,*,8,66.67%,13,*,2023,Comprehensive MCO
Arizona,"La Paz",Care1st,"Behavioral Health",*,*,6,38.46%,5,*,2023,Comprehensive MCO
Arizona,"La Paz","Banner University Family Care","Behavioral Health",142,"2,135",19,6.65%,24,8:01,2023,Comprehensive MCO
Arizona,"La Paz","Az Complete Health","Behavioral Health",289,"4,067",24,7.11%,32,13:01,2023,Comprehensive MCO
Arizona,"La Paz","United Healthcare","Behavioral Health",*,*,10,26.67%,16,*,2024,Comprehensive MCO
Arizona,"La Paz",Molina,"Behavioral Health",*,*,1,0.00%,,*,2024,Comprehensive MCO
Arizona,"La Paz","Mercy Care","Behavioral Health",31,208,7,14.90%,17,5:01,2024,Comprehensive MCO
Arizona,"La Paz","Ltc Dd Des","Behavioral Health",20,49,10,40.82%,132,2:01,2024,Comprehensive MCO
Arizona,"La Paz","Health Choice Arizona","Behavioral Health",*,*,5,13.33%,39,*,2024,Comprehensive MCO
Arizona,"La Paz",Dcs/Chp,"Behavioral Health",*,*,8,72.73%,19,*,2024,Comprehensive MCO
Arizona,"La Paz",Care1st,"Behavioral Health",*,*,6,17.48%,15,*,2024,Comprehensive MCO
Arizona,"La Paz","Banner University Family Care","Behavioral Health",184,"2,376",16,7.74%,25,12:01,2024,Comprehensive MCO
Arizona,"La Paz","Az Complete Health","Behavioral Health",372,"7,137",18,5.21%,26,21:01,2024,Comprehensive MCO
Arizona,Maricopa,"United Healthcare","Behavioral Health","16,750","172,117","1,604",9.73%,31,11:01,2020,Comprehensive MCO
Arizona,Maricopa,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Arizona,Maricopa,"Mercy Care","Behavioral Health","39,194","239,899","1,790",16.34%,58,22:01,2020,Comprehensive MCO
Arizona,Maricopa,"Maricopa Hp","Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Arizona,Maricopa,"Ltc Dd Des","Behavioral Health","9,372","13,739","2,263",68.21%,309,5:01,2020,Comprehensive MCO
Arizona,Maricopa,"Health Choice Arizona","Behavioral Health","4,626","48,606","1,208",9.52%,37,4:01,2020,Comprehensive MCO
Arizona,Maricopa,Dcs/Chp,"Behavioral Health",44,"3,066",92,1.44%,23,1:03,2020,Comprehensive MCO
Arizona,Maricopa,"Children's Rehabilitative Services (Crs)","Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Arizona,Maricopa,Care1st,"Behavioral Health","5,212","60,529","1,244",8.61%,40,5:01,2020,Comprehensive MCO
Arizona,Maricopa,Molina,"Behavioral Health","2,387","27,353",939,8.73%,30,3:01,2020,Comprehensive MCO
Arizona,Maricopa,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Arizona,Maricopa,"Banner University Family Care","Behavioral Health","3,737","38,443","1,154",9.72%,30,4:01,2020,Comprehensive MCO
Arizona,Maricopa,"Az Complete Health","Behavioral Health","4,866","55,599","1,285",8.75%,33,4:01,2020,Comprehensive MCO
Arizona,Maricopa,"United Healthcare","Behavioral Health","21,326","205,339","1,775",10.39%,30,13:01,2021,Comprehensive MCO
Arizona,Maricopa,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Maricopa,Molina,"Behavioral Health","2,877","29,456","1,069",9.77%,34,3:01,2021,Comprehensive MCO
Arizona,Maricopa,"Mercy Care","Behavioral Health","49,528","290,249","1,985",17.06%,51,25:01:00,2021,Comprehensive MCO
Arizona,Maricopa,"Maricopa Hp","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Maricopa,"Ltc Dd Des","Behavioral Health","13,013","19,059","2,493",68.28%,304,6:01,2021,Comprehensive MCO
Arizona,Maricopa,"Health Choice Arizona","Behavioral Health","6,173","59,656","1,330",10.35%,35,5:01,2021,Comprehensive MCO
Arizona,Maricopa,Dcs/Chp,"Behavioral Health","1,269","2,964",620,42.81%,44,3:01,2021,Comprehensive MCO
Arizona,Maricopa,"Children's Rehabilitative Services (Crs)","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Maricopa,Cenpatico,"Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Maricopa,Care1st,"Behavioral Health","5,652","65,595","1,232",8.62%,32,5:01,2021,Comprehensive MCO
Arizona,Maricopa,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Maricopa,"Banner University Family Care","Behavioral Health","5,152","49,008","1,261",10.51%,34,5:01,2021,Comprehensive MCO
Arizona,Maricopa,"Az Complete Health","Behavioral Health","9,911","136,525","1,502",7.26%,26,7:01,2021,Comprehensive MCO
Arizona,Maricopa,"United Healthcare","Behavioral Health","25,915","248,108","2,034",10.45%,32,13:01,2022,Comprehensive MCO
Arizona,Maricopa,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Maricopa,Molina,"Behavioral Health","3,315","35,340","1,115",9.38%,35,3:01,2022,Comprehensive MCO
Arizona,Maricopa,"Mercy Care","Behavioral Health","59,815","352,142","2,258",16.99%,49,27:01:00,2022,Comprehensive MCO
Arizona,Maricopa,"Maricopa Hp","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Maricopa,"Ltc Dd Des","Behavioral Health","14,673","21,670","2,786",67.71%,297,6:01,2022,Comprehensive MCO
Arizona,Maricopa,"Health Choice Arizona","Behavioral Health","7,710","74,169","1,346",10.40%,37,6:01,2022,Comprehensive MCO
Arizona,Maricopa,Dcs/Chp,"Behavioral Health","2,047","3,775",705,54.23%,52,3:01,2022,Comprehensive MCO
Arizona,Maricopa,"Children's Rehabilitative Services (Crs)","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Maricopa,Care1st,"Behavioral Health",218,"1,166",747,18.70%,22,1:04,2022,Comprehensive MCO
Arizona,Maricopa,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Maricopa,"Banner University Family Care","Behavioral Health","6,859","64,801","1,500",10.58%,36,5:01,2022,Comprehensive MCO
Arizona,Maricopa,"Az Complete Health","Behavioral Health","15,316","166,590","1,800",9.19%,36,9:01,2022,Comprehensive MCO
Arizona,Maricopa,"United Healthcare","Behavioral Health","32,754","309,068","2,326",10.60%,33,15:01,2023,Comprehensive MCO
Arizona,Maricopa,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Arizona,Maricopa,Molina,"Behavioral Health","4,119","44,366","1,211",9.28%,36,4:01,2023,Comprehensive MCO
Arizona,Maricopa,"Mercy Care","Behavioral Health","78,203","444,682","2,534",17.59%,51,31:01:00,2023,Comprehensive MCO
Arizona,Maricopa,"Maricopa Hp","Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Arizona,Maricopa,"Ltc Dd Des","Behavioral Health","17,205","25,544","2,846",67.35%,275,7:01,2023,Comprehensive MCO
Arizona,Maricopa,"Health Choice Arizona","Behavioral Health","9,862","93,992","1,511",10.49%,38,7:01,2023,Comprehensive MCO
Arizona,Maricopa,Dcs/Chp,"Behavioral Health","3,073","4,862",790,63.20%,56,4:01,2023,Comprehensive MCO
Arizona,Maricopa,"Children's Rehabilitative Services (Crs)","Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Arizona,Maricopa,Cenpatico,"Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Arizona,Maricopa,Care1st,"Behavioral Health",590,"2,533",831,23.29%,14,1:02,2023,Comprehensive MCO
Arizona,Maricopa,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Arizona,Maricopa,"Banner University Family Care","Behavioral Health","9,723","88,119","1,734",11.03%,36,6:01,2023,Comprehensive MCO
Arizona,Maricopa,"Az Complete Health","Behavioral Health","20,659","209,116","2,075",9.88%,35,10:01,2023,Comprehensive MCO
Arizona,Maricopa,"United Healthcare","Behavioral Health","39,541","335,266","2,389",11.79%,33,17:01,2024,Comprehensive MCO
Arizona,Maricopa,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Arizona,Maricopa,Molina,"Behavioral Health","5,084","47,322","1,249",10.74%,34,5:01,2024,Comprehensive MCO
Arizona,Maricopa,"Mercy Care","Behavioral Health","95,243","1,283,898","2,746",7.42%,54,35:01:00,2024,Comprehensive MCO
Arizona,Maricopa,"Maricopa Hp","Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Arizona,Maricopa,"Ltc Dd Des","Behavioral Health","20,510","30,660","3,018",66.89%,260,7:01,2024,Comprehensive MCO
Arizona,Maricopa,"Health Choice Arizona","Behavioral Health","12,922","108,275","1,579",11.93%,41,9:01,2024,Comprehensive MCO
Arizona,Maricopa,Dcs/Chp,"Behavioral Health","5,411","7,954",800,68.03%,53,7:01,2024,Comprehensive MCO
Arizona,Maricopa,"Children's Rehabilitative Services (Crs)","Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Arizona,Maricopa,Cenpatico,"Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Arizona,Maricopa,Care1st,"Behavioral Health",846,"5,582",718,15.16%,19,2:01,2024,Comprehensive MCO
Arizona,Maricopa,"Bridgeway Health Solution","Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Arizona,Maricopa,"Banner University Family Care","Behavioral Health","12,815","101,232","1,860",12.66%,38,7:01,2024,Comprehensive MCO
Arizona,Maricopa,"Az Complete Health","Behavioral Health","25,576","226,684","2,190",11.28%,37,12:01,2024,Comprehensive MCO
Arizona,Mohave,"United Healthcare","Behavioral Health",86,957,77,8.99%,16,2:01,2020,Comprehensive MCO
Arizona,Mohave,Molina,"Behavioral Health",*,*,36,22.22%,14,*,2020,Comprehensive MCO
Arizona,Mohave,"Ltc Dd Des","Behavioral Health",319,467,130,68.31%,298,3:01,2020,Comprehensive MCO
Arizona,Mohave,"Health Choice Arizona","Behavioral Health","3,811","29,289",111,13.01%,44,35:01:00,2020,Comprehensive MCO
Arizona,Mohave,Dcs/Chp,"Behavioral Health",*,*,4,0.78%,3,*,2020,Comprehensive MCO
Arizona,Mohave,Care1st,"Behavioral Health","1,332","13,550",107,9.83%,43,13:01,2020,Comprehensive MCO
Arizona,Mohave,"Mercy Care","Behavioral Health",35,128,64,27.34%,18,1:02,2020,Comprehensive MCO
Arizona,Mohave,"Banner University Family Care","Behavioral Health",*,*,43,2.74%,12,*,2020,Comprehensive MCO
Arizona,Mohave,"Az Complete Health","Behavioral Health",*,*,70,25.00%,19,*,2020,Comprehensive MCO
Arizona,Mohave,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Mohave,Molina,"Behavioral Health",*,*,40,25.00%,1,*,2021,Comprehensive MCO
Arizona,Mohave,"United Healthcare","Behavioral Health",88,946,94,9.30%,17,1:02,2021,Comprehensive MCO
Arizona,Mohave,"Mercy Care","Behavioral Health",125,185,76,67.57%,8,2:01,2021,Comprehensive MCO
Arizona,Mohave,"Ltc Dd Des","Behavioral Health",386,564,136,68.44%,306,3:01,2021,Comprehensive MCO
Arizona,Mohave,"Health Choice Arizona","Behavioral Health","4,580","34,683",119,13.21%,42,39:01:00,2021,Comprehensive MCO
Arizona,Mohave,Dcs/Chp,"Behavioral Health",110,242,50,45.45%,36,3:01,2021,Comprehensive MCO
Arizona,Mohave,Care1st,"Behavioral Health","1,646","15,926",108,10.34%,39,16:01,2021,Comprehensive MCO
Arizona,Mohave,"Banner University Family Care","Behavioral Health",*,*,60,7.89%,62,*,2021,Comprehensive MCO
Arizona,Mohave,"Az Complete Health","Behavioral Health",*,*,82,28.42%,30,*,2021,Comprehensive MCO
Arizona,Mohave,"United Healthcare","Behavioral Health",87,928,88,9.38%,23,1:02,2022,Comprehensive MCO
Arizona,Mohave,Molina,"Behavioral Health",*,*,32,33.33%,5,*,2022,Comprehensive MCO
Arizona,Mohave,"Mercy Care","Behavioral Health",170,264,76,64.39%,10,3:01,2022,Comprehensive MCO
Arizona,Mohave,"Maricopa Hp","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Mohave,"Ltc Dd Des","Behavioral Health",427,640,124,66.72%,302,4:01,2022,Comprehensive MCO
Arizona,Mohave,"Health Choice Arizona","Behavioral Health","5,294","41,556",105,12.74%,40,51:01:00,2022,Comprehensive MCO
Arizona,Mohave,Dcs/Chp,"Behavioral Health",203,319,45,63.64%,32,5:01,2022,Comprehensive MCO
Arizona,Mohave,Care1st,"Behavioral Health","3,170","22,064",102,14.37%,32,32:01:00,2022,Comprehensive MCO
Arizona,Mohave,"Banner University Family Care","Behavioral Health",*,*,54,8.91%,15,*,2022,Comprehensive MCO
Arizona,Mohave,"Az Complete Health","Behavioral Health",*,*,78,24.69%,20,*,2022,Comprehensive MCO
Arizona,Mohave,"United Healthcare","Behavioral Health",123,990,83,12.42%,15,2:01,2023,Comprehensive MCO
Arizona,Mohave,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Arizona,Mohave,Molina,"Behavioral Health",*,*,35,10.00%,5,*,2023,Comprehensive MCO
Arizona,Mohave,"Mercy Care","Behavioral Health",194,281,77,69.04%,15,3:01,2023,Comprehensive MCO
Arizona,Mohave,"Ltc Dd Des","Behavioral Health",512,743,79,68.91%,253,7:01,2023,Comprehensive MCO
Arizona,Mohave,"Health Choice Arizona","Behavioral Health","4,884","47,054",103,10.38%,44,48:01:00,2023,Comprehensive MCO
Arizona,Mohave,Dcs/Chp,"Behavioral Health",248,330,37,75.15%,41,7:01,2023,Comprehensive MCO
Arizona,Mohave,Care1st,"Behavioral Health","4,600","28,164",98,16.33%,45,47:01:00,2023,Comprehensive MCO
Arizona,Mohave,"Banner University Family Care","Behavioral Health",*,*,62,14.38%,46,*,2023,Comprehensive MCO
Arizona,Mohave,"Az Complete Health","Behavioral Health",54,202,83,26.73%,19,1:02,2023,Comprehensive MCO
Arizona,Mohave,"United Healthcare","Behavioral Health",128,"1,142",80,11.21%,22,2:01,2024,Comprehensive MCO
Arizona,Mohave,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Arizona,Mohave,Molina,"Behavioral Health",*,*,37,13.33%,6,*,2024,Comprehensive MCO
Arizona,Mohave,"Mercy Care","Behavioral Health",213,887,83,24.01%,13,3:01,2024,Comprehensive MCO
Arizona,Mohave,"Ltc Dd Des","Behavioral Health",586,881,97,66.52%,263,7:01,2024,Comprehensive MCO
Arizona,Mohave,"Health Choice Arizona","Behavioral Health","5,925","50,226",114,11.80%,47,52:01:00,2024,Comprehensive MCO
Arizona,Mohave,Dcs/Chp,"Behavioral Health",312,425,45,73.41%,47,7:01,2024,Comprehensive MCO
Arizona,Mohave,Care1st,"Behavioral Health","5,298","77,822",100,6.81%,44,53:01:00,2024,Comprehensive MCO
Arizona,Mohave,"Banner University Family Care","Behavioral Health",*,*,71,19.02%,20,*,2024,Comprehensive MCO
Arizona,Mohave,"Az Complete Health","Behavioral Health","3,353","69,944",125,4.79%,17,27:01:00,2024,Comprehensive MCO
